"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"STR_CREDITSN13","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop",
"STR_CREDITSN14","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith",
"STR_CREDITSN15","Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys","Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys","Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys","Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys","Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys","Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys","Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys","Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys","Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys","Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys","Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys","Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys",
"STR_CREDITSN16","Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid","Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid","Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid","Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid","Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid","Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid","Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid","Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid","Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid","Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid","Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid","Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid",
"STR_CREDITSN17","Daniel Gardner\nLewis Griffin\nTim Bartlett","Daniel Gardner\nLewis Griffin\nTim Bartlett","Daniel Gardner\nLewis Griffin\nTim Bartlett","Daniel Gardner\nLewis Griffin\nTim Bartlett","Daniel Gardner\nLewis Griffin\nTim Bartlett","Daniel Gardner\nLewis Griffin\nTim Bartlett","Daniel Gardner\nLewis Griffin\nTim Bartlett","Daniel Gardner\nLewis Griffin\nTim Bartlett","Daniel Gardner\nLewis Griffin\nTim Bartlett","Daniel Gardner\nLewis Griffin\nTim Bartlett","Daniel Gardner\nLewis Griffin\nTim Bartlett","Daniel Gardner\nLewis Griffin\nTim Bartlett",
"STR_SYNC_WAITING","WAIT","WAIT","ČEKEJ","WARTEN","ОЖИДАНИЕ","CZEKAĆ","VÁRJ","ASPETTARE","ESPERAR","ATTENDRE","WAIT","WAIT",
"STR_CREDITSN18","Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov","Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov","Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov","Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov","Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov","Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov","Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov","Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov","Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov","Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov","Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov","Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov",
"STR_CREDITSN19","Linda Fletcher","Linda Fletcher","Linda Fletcher","Linda Fletcher","Linda Fletcher","Linda Fletcher","Linda Fletcher","Linda Fletcher","Linda Fletcher","Linda Fletcher","Linda Fletcher","Linda Fletcher",
"STR_CREDITSN20","Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia","Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia","Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia","Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia","Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia","Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia","Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia","Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia","Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia","Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia","Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia","Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia",
"STR_CREDITSN21","Dean Trotman\nGary Rowe\nNav Sunner","Dean Trotman\nGary Rowe\nNav Sunner","Dean Trotman\nGary Rowe\nNav Sunner","Dean Trotman\nGary Rowe\nNav Sunner","Dean Trotman\nGary Rowe\nNav Sunner","Dean Trotman\nGary Rowe\nNav Sunner","Dean Trotman\nGary Rowe\nNav Sunner","Dean Trotman\nGary Rowe\nNav Sunner","Dean Trotman\nGary Rowe\nNav Sunner","Dean Trotman\nGary Rowe\nNav Sunner","Dean Trotman\nGary Rowe\nNav Sunner","Dean Trotman\nGary Rowe\nNav Sunner",
"STR_EXPORT_NONE","User mission","User mission","Uživatelská mise","Benutzerdefinierte Mission","Задание пользователя","Misja użytkownika","Felhasználói küldetések","Missione utente","Misión de usuario","Mission utilisateur","ユーザーミッション","User mission",
"STR_EXPORT_SINGLE","Export to single missions","Export to single missions","Zabal do single misí","Export zu Einzel-Missionen","Экспорт в один. задания","Eksportuj do pojedynczych misji","Exportálás az egyjátékos küldetésekhez","Esporta in missioni a un giocatore","Exportar a misiones un jugador","Exporter vers missions en solo","エクスポート シングルミッション","Export to single missions",
"STR_CREDITSN22","Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media)","Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media)","Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media)","Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media)","Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media)","Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media)","Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media)","Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media)","Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media)","Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media)","Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media)","Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media)",
"STR_CUST_EDIT","Edit","Edit","Úpravy","Bearbeiten","Изменить","Edycja","Szerkeszt","Modifica","Editar","Modifier","Edit","Edit",
"STR_EXPORT_MULTI","Export to multiplayer missions","Export to multiplayer missions","Zabal do multiplayer misí","Export für Mehrspieler-Missionen","Экспорт в сет. задания","Eksportuj do misji gry wieloosobowej","Exportálás a többjátékos küldetésekhez","Esporta in missioni multigiocatore","Exportar a misiones multijugador","Exporter vers missions multijoueurs","エクスポート マルチプレイミッション","Export to multiplayer missions",
"STR_CUST_NEW","New","New","Nový","Neu","Новый","Nowy","Új","Nuova","Nuevo","Nouv.","New","New",
"STR_EXPORT_MAIL","Send by e-mail","Send by e-mail","Pošli e-mailem","Per E-Mail versenden","Послать по e-mail","Wyślij e-mailem","Küldés e-mailben","Invia per e-mail","Enviar por e-mail","Envoyer par e-mail","E-Mail 添付","Send by e-mail",
"STR_CUST_NEW_DIR","New folder","New folder","Nová složka","Neuer Ordner","Новая папка","Nowy folder","Új könyvtár","Nuova cartella","Nueva carpeta","Nouveau dossier","New folder","New folder",
"STR_CUSTOMIZE_CONTROLLER_TITLE","Customize controller: %s","Customize controller: %s","Nastavení ovládání: %s","Controller anpassen: %s","Настройки управлени: %s","Ustawienia kontrolera: %s","Játékvezérlő beállítása: %s","Personalizza controller: %s","Personalizar mando: %s","Personnaliser manette : %s","カスタマイズ: %s","Customize controller: %s",
"STR_DAMAGED_DISC","There’s a problem with the disc you’re using. It may be dirty or damaged.","There’s a problem with the disc you’re using. It may be dirty or damaged.","Disk, který používáte, není v pořádku. Může být špinavý nebo poškozený.","Bei der benutzten DVD ist ein Problem aufgetreten. Möglicherweise ist sie verschmutzt oder beschädigt.","Возникли проблемы с диском в приводе. Возможно, он испачкан или поврежден.","Wystąpił problem z dyskiem. Może być zabrudzony lub uszkodzony.","A jelenleg használt lemez hibás. Lehet, hogy koszos, vagy sérült.","C’è un problema con il disco che stai usando. Potrebbe essere sporco o danneggiato.","Hay problemas en el disco que estás usando. Es posible que esté sucio o dañado.","Le disque utilisé présente une anomalie. Il est peut-être sale ou endommagé.","There’s a problem with the disc you’re using. It may be dirty or damaged.","There’s a problem with the disc you’re using. It may be dirty or damaged.",
"STR_MEDIUM","Normal","Normal","Normální","Normal","Нормальный","Normalny","Normál","Normale","Normal","Normal(e)","普通","Normal",
"STR_HOUSE_POSITION","Position #%d","Position #%d","Pozice č.%d","Position #%d","Позиция #%d","Pozycja #%d","Helyzet #%d","Posizione #%d","Posición #%d","Position #%d","Position #%d","Position #%d",
"STR_DEDICATED_SERVER","Dedicated server","Dedicated server","Dedikovaný server","Dedizierter Server","Выделенный сервер","Serwer dedykowany","Dedikált szerver","Server dedicato","Servidor adjudicado","Serveur dédié","Dedicated server","Dedicated server",
"STR_DIFF_VETERAN","Difficulty: Veteran","Difficulty: Veteran","Obtížnost: Veterán","Schwierigkeit: Veteran","Сложность: Ветеран","Poziom trudności: Weteran","Nehézségi fokozat: Veterán","Difficoltà: Veterano","Dificultad: veterano","Difficulté : vétéran","難易度：ベテラン","Difficulty: Veteran",
"STR_DIFF_AUTOTRIMENABLED","Auto-trim","Auto-trim","Automatické vyvážení","Automatische Trimmung","Auto-trim","Autotrymowanie","Auto-trim","Compensatori automatici","Auto-compensación","Compensation automatique","自動トリム","Auto-trim",
"STR_DIFF_CADET","Difficulty: Cadet","Difficulty: Cadet","Obtížnost: Kadet","Schwierigkeit: Kadett","Сложность: Кадет","Poziom trudności: Kadet","Nehézségi fokozat: Kadét","Difficoltà: Cadetto","Dificultad: cadete","Difficulté : aspirant","難易度：見習い","Difficulty: Cadet",
"STR_DIFF_CAMERA_SHAKE","Camera shake","Camera shake","Třesení kamery","Kamerawackeln","Вибрация камеры","Wstrząsy kamery","Camera shake","Scuotimento telecamera","Temblor de cámara","Vibrations caméra","カメラの振れ","Camera shake",
"STR_DIFF_DEATH_MESSAGES","YOU WERE KILLED","YOU WERE KILLED","Info o znič. cíle","SIE WURDEN GEÖTET","Похоронки","Komunikat śmierci","Elhalálozási üzenet","SEI STATO UCCISO","TE HAN MATADO","VOUS AVEZ ÉTÉ TUÉ","プレイヤー死亡","YOU WERE KILLED",
"STR_DIFF_HUD_GROUP_INFO","HUD show group","HUD show group","Ukaž skupinu na HUD","Gruppenanzeige auf dem HUD","Информ. на дисплее","HUD pokazuje grupę","HUD megjelenítő csoport","Mostra gruppo nell'HUD","Mostrar información en pantalla","Afficher groupements sur HUD","HUDグループ表示","HUD show group",
"STR_SESSION_WAIT","Waiting","Waiting","Čekám","Wartet","Ожидание","Oczekiwanie","Várakozás","In attesa","Esperando","Attente","Waiting","Waiting",
"STR_DIFF_HUD_PERM","Permanent extended HUD info","Permanent extended HUD info","Trvale zapnuté informace na HUD","Stetig erweiterte HUD-Info","Постоянный показ доп. информ.","HUD rozszerzony na stałe","Kijelző adatainak frissítése","Info HUD avanzate permanenti","Información pantalla ampliada permanente","Infos HUD étendues perm.","常設拡張HUD情報","Permanent extended HUD info",
"STR_STAT_UNIT_LOST","%s %s %s killed in action (%s)","%s %s %s killed in action (%s)","%s %s %s zabit v akci (%s)","%s %s %s im Kampf (%s) gefallen","%s %s %s убито в бою (%s)","%s %s %s zabity w akcji (%s)","%s %s %s meghalt bevetés közben (%s)","%s %s %s ucciso in azione (%s)","%s %s %s muerto en acción (%s)","%s %s %s tué(s) au combat (%s)","%s %s %s killed in action (%s)","%s %s %s killed in action (%s)",
"STR_SPECIAL_CAN_COLLIDE","Can collide","Can collide","Nastavení kolize","Kann kollidieren","Возможен конфликт","Możliwe zderzenia","Ütközhet","Possibilità di collisione","Puede colisionar","Collision possible","Can collide","Can collide",
"STR_SPECIAL_FORM","In Formation","In Formation","Ve formaci","In Formation","В строю","W szyku","Alakzatban","In formazione","En formación","En formation","In Formation","In Formation",
"STR_SESSION_SETUP","Setting up","Setting up","Nastavení","Beim Setup","Конфигурация","Ustawianie","Felkészülés","Impostazione in corso...","Configurando","Configuration","Setting up","Setting up",
"STR_STAT_KILL_FRIENDLY_UNIT","%s Friendly %s destroyed (%s)","%s Friendly %s destroyed (%s)","%s Přátelský cíl (%s) zničen (%s)","%s eigene %s zerstört (%s)","%s своих %s уничтожено (%s)","%s Sojuszniczy %s zniszczony (%s)","%s barátságos %s elpusztítva (%s)","Distrutti: %s %s - amici (%s)","%s %s amigos destruidos (%s)","%s %s ami(s) détruit(s) (%s)","%s Friendly %s destroyed (%s)","%s Friendly %s destroyed (%s)",
"STR_SPECIAL_FLYING","Flying","Flying","Ve vzduchu","Fliegend","В полете","Leci","Repülve","In volo","Volando","En vol","Flying","Flying",
"STR_SPECIAL_NONE","None","None","Nic","Keine","Нет","Brak","Üres","Nessuno","Ninguna","Néant","なし","None",
"STR_SESSION_CREATE","Creating","Creating","Vytvářím","Erstellt","Создание","Tworzenie","Készítés","Creazione in corso...","Creando","Création","Creating","Creating",
"STR_STAT_KILL_FRIENDLY_SOLDIER","%s Friendly soldier killed (%s)","%s Friendly soldier killed (%s)","%s Zabit přátelský voják (%s)","%s eigene Soldaten getötet (%s)","%s своих солдат убито (%s)","%s Zabito sojusznika (%s)","%s szövetséges katonát megölték (%s)","Soldati amici uccisi: %s (%s)","%s soldados amigos muertos (%s)","%s soldat(s) ami(s) tué(s) (%s)","%s Friendly soldier killed (%s)","%s Friendly soldier killed (%s)",
"STR_SPECIAL_CARGO","In Cargo","In Cargo","Pasažér","Im Laderaum","В грузовом отсеке","W ładowni","Raktérben","Sul cargo","En carga","En cargaison","In Cargo","In Cargo",
"STR_STAT_KILL_ENEMY_SOLDIER","%s Enemy soldier killed (%s)","%s Enemy soldier killed (%s)","%s Zabit nepřátelský voják (%s)","%s gegnerische Soldaten getötet (%s)","%s вражеских солдат убито (%s)","%s Zabito nieprzyjacielskiego żołnierza (%s)","%s ellenséges katonát megölték (%s)","Soldati nemici uccisi: %s (%s)","%s soldados enemigos muertos (%s)","%s soldat(s) ennemi(s) tué(s) (%s)","%s Enemy soldier killed (%s)","%s Enemy soldier killed (%s)",
"STR_STAT_KILL_ENEMY_UNIT","%s Enemy %s destroyed (%s)","%s Enemy %s destroyed (%s)","%s Nepřátelský cíl (%s) zničen (%s)","%s gegnerische %s zerstört (%s)","%s вражеских %s уничтожено (%s)","%s Nieprzyjacielski %s zniszczony (%s)","%s ellenséges %s elpusztítva (%s)","Distrutti: %s %s - nemici (%s)","%s %s enemigos destruidos (%s)","%s %s ennemi(s) détruit(s) (%s)","%s Enemy %s destroyed (%s)","%s Enemy %s destroyed (%s)",
"STR_SESSION_VERSION","Version: %.2f","Version: %.2f","Verze: %.2f","Version: %.2f","Версия: %.2f","Wersja: %.2f","Verzió: %.2f","Versione: %.2f","Versión: %.2f","Version : %.2f","Version: %.2f","Version: %.2f",
"STR_SESSION_EDIT","Editing","Editing","Editace","Bearbeitet","Редактирование","Edycja","Szerkeszt","Modifica in corso...","Editando","Modification","Editing","Editing",
"STR_STAT_KILL_CIVILIAN_UNIT","%s Civilian %s destroyed (%s)","%s Civilian %s destroyed (%s)","%s Civilní cíl (%s) zničen (%s)","%s zivile %s zerstört (%s)","%s гражданских %s уничтожено (%s)","%s Cywilny %s zniszczony (%s)","%s civil %s elpusztítva (%s)","Distrutti: %s %s - civili (%s)","%s %s civiles destruidos (%s)","%s %s civil(s) détruit(s) (%s)","%s Civilian %s destroyed (%s)","%s Civilian %s destroyed (%s)",
"STR_DIFF_HUD_WP","HUD waypoints info","HUD waypoints info","Zobrazování trasy","Wegpunktinfo auf dem HUD","Информ. о маршруте на экране","Inf. o pkt. nawigacyjnych na HUD","Útpontok megjelenítése","Info HUD punti di passaggio","Información referencia en pantalla","Infos points passage HUD","HUDウェイポイント情報","HUD waypoints info",
"STR_DIFF_HUD_WP_PERM","HUD waypoints info permanently","HUD waypoints info permanently","Trvalé zobrazování trasy","Fortlauf. HUD-Wegpunktinfo","Пост. показ информ. о маршруте","Inf. o pkt. nawig. stale na HUD","Útpontok fix megjelenítése","Info HUD punti di passaggio permanenti","Información referencia en pantalla permanente","Infos points passage HUD perm.","常設HUDウェイポイント情報","HUD waypoints info permanently",
"STR_DIFFICULTY_ANY","Any","Any","Jakýkoli","Jede","Любые","Dowolny","Bármely","Qualsiasi","Cualquiera","Quelconque","Any","Any",
"STR_STAT_KILL_CIVIL","%s Civilian killed (%s)","%s Civilian killed (%s)","%s Zabito civilistů (%s)","%s Zivilisten getötet (%s)","%s гражданских убито (%s)","%s Zabito cywila (%s)","%s civilt megölték (%s)","Civili uccisi: %s (%s)","%s civiles muertos (%s)","%s civil(s) tué(s) (%s)","%s Civilian killed (%s)","%s Civilian killed (%s)",
"STR_SESSION_PLAY","Playing","Playing","Hrající","Spielt","Идет игра","Gra","Játszik","Partita in corso...","Jugando","En cours de partie","Playing","Playing",
"STR_DIFF_LITE_UNITINFO","Allow full HUD info","Allow full HUD info","Povolit zobrazování všech informací na HUD","Komplettdaten-HUD zulassen","Allow full HUD info","Zezwól na pełne informacje na HUD","Allow full HUD info","Consenti HUD completo","Habilitar información de HUD completa","Autoriser les infos HUD","完全HUD情報を許可","Allow full HUD info",
"STR_SESSION_REQUIRED","Required: %.2f","Required: %.2f","Požadováno: %.2f","Benötigt: %.2f","Требуется: %.2f","Wymagana: %.2f","Szükséges: %.2f","Necessaria: %.2f","Necesario: %.2f","Requis : %.2f","Required: %.2f","Required: %.2f",
"STR_SESSION_DEBRIEFING","Debriefing","Debriefing","Podání zprávy","Nachbesprechung","Разбор","Odprawa","Értékelés","Rapporto fine missione","Cuestionando","Débriefing","Debriefing","Debriefing",
"STR_SESSION_BRIEFING","Briefing","Briefing","Podání zprávy","Briefing","Брифинг","Odprawa","Eligazítás","Istruzioni","Informando","Briefing","Briefing","Briefing",
"STR_DIFF_NETWORK_STATS","Multiplayer score","Multiplayer score","Score v MP","Multiplayer-Ergebnis","Очки в МП","Wynik gry wieloosobowej","Többjátékos stat.","Punteggio multigiocatore","Puntuación multijugador","Score Multijoueur","マルチプレイ・スコア","Multiplayer score",
"STR_DIFF_ROUGHLANDING","Allow rough landing","Allow rough landing","Povolit tvrdá přistání","Harte Landung zulassen","Allow rough landing","Zezwól na twarde lądowanie","Allow rough landing","Consenti atterraggio brusco","Permitir aterrizajes bruscos","Autorisez les atterrissages durs","ラフな着陸許可","Allow rough landing",
